Bánh hỏi,Bánh hỏi
Bánh canh,Bánh canh
Bún chả,Bún chả
Cao lầu,Cao lầu
Bún ốc,Bún ốc
Bún riêu,Bún riêu
Bún Thịt Nướng,Bún Thịt Nướng
Chicken Marengo,Chicken Marengo
Hachis Parmentier,Hachis Parmentier
Jambon-beurre,Jambon-beurre
Poulet chasseur,Poulet chasseur
Baguette,바게트
Croissant,크로아상
Crème brûlée,크림브륄레
Éclair,Éclair
Galette des rois,Galette des rois
Macarons,마카롱
Madeleine,Madeleine
Mille-feuilles,Mille-feuilles
Mousse au chocolat,Mousse au chocolat
Pain au chocolat,Pain au chocolat
Pain perdu,Pain perdu
Quatre-quarts,Quatre-quarts
Saint Honoré,Saint Honoré
Soufflé,수플레케익
Baba au rhum,Baba au rhum
Bouchée à la reine,Bouchée à la reine
Glace Plombières,Glace Plombières
Madeleine ,Madeleine 
Potée Lorraine,Potée Lorraine
Quiche,Quiche
Tête de veau,Tête de veau
Baeckeoffe,Baeckeoffe
Carpe frites,Carpe frites
Choucroute garnie,Choucroute garnie
Coq au Riesling ,Coq au Riesling 
Knack,Knack
Kouglof,Kouglof
Presskopf,Presskopf
Teurgoule,Teurgoule
Tripes à la mode de Caen ,Tripes à la mode de Caen 
Axoa,Axoa
Confit de canard,Confit de canard
Foie gras,Foie gras
Garbure,Garbure
Piperade,Piperade
Flaugnarde,Flaugnarde
Pâté aux pommes de terre,Pâté aux pommes de terre
Crêpes,Crêpes
Kig ha farz,Kig ha farz
Kouign amann,Kouign amann
Andouillettes,Andouillettes
Rillettes,Rillettes
Bœuf bourguignon,Bœuf bourguignon
Coq au vin,Coq au vin
Escargots de Bourgogne ,Escargots de Bourgogne 
Gougère,Gougère
Oeufs en meurette,Oeufs en meurette
Fondue,Fondue
Gratin dauphinois,Gratin dauphinois
Quenelle,Quenelle
Raclette,Raclette
Soupe à l'oignon,Soupe à l'oignon
Tartiflette,Tartiflette
Aligot,Aligot
Tripoux,Tripoux
Pansette de Gerzat,Pansette de Gerzat
Truffade,Truffade
Fouace,Fouace
Soupe au fromage,Soupe au fromage
Cassoulet,Cassoulet
Bourride,Bourride
Brandade de morue,Brandade de morue
Cargolade,Cargolade
Trinxat,Trinxat
Aïoli ,Aïoli 
Bouillabaisse,Bouillabaisse
Calisson,Calisson
Daube provençale,Daube provençale
Fougasse ,Fougasse 
Gateau des rois ,Gateau des rois 
Gibassier,Gibassier
Pan-bagnat,Pan-bagnat
Pieds paquets,Pieds paquets
Pissaladière,Pissaladière
Pompe à l'huile ,Pompe à l'huile 
Quince cheese,Quince cheese
Ratatouille,Ratatouille
Salade Niçoise,Salade Niçoise
Socca ,Socca 
Soupe au pistou,Soupe au pistou
Tapenade,Tapenade
Tarte tropézienne,Tarte tropézienne
Acquacotta,Acquacotta
Agliata,Agliata
Agrodolce,Agrodolce
Bagna càuda,Bagna càuda
Capra e fagioli,Capra e fagioli
Cioppino,Cioppino
Garmugia,Garmugia
Ginestrata,Ginestrata
Maccu,Maccu
Sugo al Pomodoro,Sugo al Pomodoro
Minestra di ceci,Minestra di ceci
Minestrone,Minestrone
Pasta e fagioli,Pasta e fagioli
Ragù alla bolognese,Ragù alla bolognese
Ragù alla napoletana,Ragù alla napoletana
Ragù alla salsiccia,Ragù alla salsiccia
Ragù,Ragù
Risi e bisi,Risi e bisi
Sciusceddu,Sciusceddu
Stracciatella,Stracciatella
Fonduta,Fonduta
Bari,Bari
Ciabatta,Ciabatta
Colomba Pasquale,Colomba Pasquale
Cornetto,Cornetto
Crescentina,Crescentina
Farinata,Farinata
Grissini torinesi,Grissini torinesi
Muffuletta,Muffuletta
Neccio,Neccio
Pandoro,Pandoro
Pane carasau,Pane carasau
Pane di Altamura,Pane di Altamura
Pane di Laterza,Pane di Laterza
Panettone,Panettone
Panino,Panino
Penia,Penia
Piadina,Piadina
Taralli,Taralli
Tigella,Tigella
Ai frutti di mare,Ai frutti di mare
Calzone,Calzone
Focaccia al rosmarino ,포테이토 피자
Pizza al taglio,Pizza al taglio
Pizza ai quattro formaggi,Pizza ai quattro formaggi
Pizza capricciosa,Pizza capricciosa
Pizza Margherita ,Pizza Margherita 
Pizza pugliese,Pizza pugliese
Pizza quattro stagioni,Pizza quattro stagioni
Roman pizza,Roman pizza
Sicilian pizza,Sicilian pizza
Carbonara,Carbonara
Ciceri e Tria,Ciceri e Tria
Cacio e pepe,Cacio e pepe
Lasagne,Lasagne
Fettuccine Alfredo,Fettuccine Alfredo
Pasta all'Ortolana,Pasta all'Ortolana
Penne all'arrabbiata,Penne all'arrabbiata
Pasta con i peperoni cruschi,Pasta con i peperoni cruschi
Pasta con le sarde,Pasta con le sarde
Ravioli,Ravioli
Rigatoni con la Pajata,Rigatoni con la Pajata
Arancini,Arancini
Risotto,Risotto
Acqua pazza,Acqua pazza
Baccalà,Baccalà
Buridda,Buridda
Cacciucco,Cacciucco
Cappon magro,Cappon magro
Braciole,Braciole
Bresaola,Bresaola
Capicollo,Capicollo
Carne Pizzaiola,Carne Pizzaiola
Carne al piatto,Carne al piatto
Cotechino Modena,Cotechino Modena
Cotoletta alla milanese,Cotoletta alla milanese
Culatello,Culatello
Mortadella,Mortadella
Osso buco,Osso buco
Prosciutto cotto,Prosciutto cotto
Prosciutto crudo,Prosciutto crudo
Prosciutto di Parma,Prosciutto di Parma
Salame,Salame
Salsiccia ,Salsiccia 
Soppressata,Soppressata
Arroz a la cubana,Arroz a la cubana
Boquerones en vinagre,Boquerones en vinagre
Chireta,Chireta
Chicharrón ,Chicharrón 
Escabeche,Escabeche
Esqueixada,Esqueixada
Gachas,Gachas
Migas,Migas
Paella,Paella
Ropa vieja,Ropa vieja
Zarangollo,Zarangollo
Pa amb tomàquet,Pa amb tomàquet
Coca,Coca
Pincho,Pincho
Hornazo,Hornazo
Mollete,Mollete
Cocido,Cocido
Escudella,Escudella
Caparrones,Caparrones
Gazpacho,Gazpacho
Olla podrida,Olla podrida
Pipérade,Pipérade
Pisto,Pisto
Salmorejo,Salmorejo
Avocado salad,Avocado salad
Avocado soup,Avocado soup
Avocado toast,Avocado toast
Deep-fried avocado,Deep-fried avocado
Guacamole,Guacamole
Ajoblanco,Ajoblanco
Bakewell tart,Bakewell tart
Bear claw,Bear claw
Blancmange,Blancmange
Bethmännchen,Bethmännchen
Apple dumpling,Apple dumpling
"Bacon, egg and cheese sandwich","Bacon, egg and cheese sandwich"
Bacon and eggs,Bacon and eggs
Bacon sandwich,Bacon sandwich
Bagel and cream cheese,Bagel and cream cheese
Baked beans,Baked beans
Banana bread,Banana bread
Barley honey,Barley honey
Bear claw,Bear claw
Bizcocho,Bizcocho
Bran flakes,Bran flakes
Boiled egg,Boiled egg
Breakfast burrito,Breakfast burrito
Breakfast cereal,Breakfast cereal
Breakfast sandwich,Breakfast sandwich
Breakfast sausage,Breakfast sausage
Breakfast taco,Breakfast taco
Brown bread,Brown bread
cereal,cereal
Chicken and waffles,Chicken and waffles
Chipped beef on toast,Chipped beef on toast
Chocolate gravy,Chocolate gravy
Cinnamon roll,Cinnamon roll
Coffee cake,Coffee cake
Creamed eggs on toast,Creamed eggs on toast
Dutch baby pancake,Dutch baby pancake
Dosa,Dosa
Doughnut,Doughnut
Egg in the basket,Egg in the basket
Eggs and brains,Eggs and brains
Egg sandwich,Egg sandwich
Eggs Beauregard,Eggs Beauregard
